MD,SGRC,SEXP,SESP,SEMP,TVD,TVDSS,BS,R(D)/RT,PHID,RHOBHC,NPHIHC,PHIECPX,PHITCPX,Sw/SXO,New_feat,K,PAY,NET,KTIM,MRP,T2LM,T2_DIST,T2LM_L,T2LM_G
1260.1,112.36,0.55,0.96,0.9,4134.07,4052.04,12.25,0.8374,0.13,2.45,0.44,0,0.14,1,3.45,0,0,0,1.97,0.31,3.962876,0.002794027,3.962876,3.962876
1260.2,107.87,0.57,0.97,0.86,4134.39,4052.37,12.25,0.658,0.18,2.37,0.46,0,0.17,1,3.37,0,0,0,1.5,0.31,,0.003151017,4.0033215,4.003117185
1260.3,104.98,0.59,0.96,0.81,4134.72,4052.7,12.25,0.5995,0.23,2.3,0.47,0.07,0.27,0.98727,3.28727,0.11,0,0,1.03,0.3,4.043767,0.003491149,4.043767,4.043767
1260.4,103.79,0.55,0.89,0.76,4135.05,4053.03,12.25,0.5944,0.29,2.21,0.48,0.08,0.31,0.98811,3.19811,0.16,0,0,0.72,0.3,,0.003738073,4.1550245,4.153534683
1260.5,103.64,0.48,0.8,0.7,4135.38,4053.36,12.25,0.6221,0.3,2.19,0.48,0.08,0.31,0.96549,3.15549,0.17,0,0,0.54,0.29,4.266282,0.003974812,4.266282,4.266282
1260.6,108.58,0.45,0.74,0.67,4135.71,4053.68,12.25,0.6298,0.31,2.17,0.48,0.06,0.31,0.97457,3.14457,0.04,0,0,0.37,0.28,,0.004109952,4.2974845,4.297371223
1260.7,115.45,0.42,0.68,0.65,4136.03,4054.01,12.25,0.6208,0.32,2.16,0.47,0.05,0.31,0.99186,3.15186,0.01,0,0,0.19,0.26,4.328687,0.0041984,4.328687,4.328687
1260.8,124.49,0.41,0.65,0.62,4136.36,4054.34,12.25,0.63,0.32,2.16,0.47,0.05,0.31,0.9969,3.1569,0.01,0,0,0.01,0.25,,0.003820068,4.3103125,4.310273335
1260.9,126.96,0.41,0.65,0.62,4136.69,4054.67,12.25,0.63,0.32,2.16,0.48,0.04,0.3,1,3.16,0,0,0,0.01,0.25,4.291938,0.003399829,4.291938,4.291938
1261,127.67,0.42,0.65,0.62,4137.02,4055,12.25,0.65,0.31,2.17,0.48,0.03,0.3,0.99998,3.16998,0,0,0,0.02,0.25,,0.002795164,4.4478745,4.445140198
1261.1,121.49,0.42,0.65,0.62,4137.35,4055.33,12.25,0.65,0.31,2.18,0.48,0.02,0.3,1,3.18,0,0,0,0.02,0.25,4.603811,0.002271269,4.603811,4.603811
1261.2,114.18,0.42,0.65,0.62,4137.67,4055.65,12.25,0.65,0.31,2.18,0.49,0.04,0.3,0.99607,3.17607,0,0,0,0.03,0.25,,0.001954215,4.573766,4.573667316
1261.3,111.98,0.42,0.67,0.63,4138,4055.98,12.25,0.66,0.31,2.17,0.48,0.05,0.31,0.99273,3.16273,0.01,0,0,0.03,0.25,4.543721,0.001591388,4.543721,4.543721
1261.4,109.95,0.42,0.67,0.64,4138.33,4056.31,12.25,0.67,0.31,2.17,0.47,0.06,0.31,0.9897,3.1597,0.02,0,0,0.03,0.25,,0.00115365,4.7297005,4.726042578
1261.5,115.79,0.42,0.68,0.65,4138.66,4056.64,12.25,0.68,0.3,2.19,0.46,0.04,0.3,0.99263,3.18263,0,0,0,0.04,0.24,4.91568,0.001245081,4.91568,4.91568
1261.6,127.99,0.43,0.69,0.65,4138.99,4056.97,12.25,0.68,0.3,2.19,0.45,0.05,0.31,0.98911,3.17911,0.01,0,0,0.04,0.24,4.636857,0.001930114,4.636857,4.636857
1261.7,135.11,0.43,0.7,0.67,4139.31,4057.29,12.25,0.69,0.28,2.22,0.44,0.04,0.3,0.99094,3.21094,0,0,0,0.04,0.24,,0.002673109,4.6480995,4.648085904
1261.8,131.07,0.44,0.71,0.68,4139.64,4057.62,12.25,0.71,0.26,2.25,0.43,0.02,0.28,0.99658,3.24658,0,0,0,0.05,0.24,4.659342,0.003461632,4.659342,4.659342
1261.9,127.46,0.46,0.76,0.71,4139.97,4057.95,12.25,0.75,0.26,2.25,0.43,0.02,0.28,0.99113,3.24113,0,0,0,0.05,0.24,,0.003843504,4.5367025,4.535044556
1262,126.39,0.47,0.77,0.73,4140.3,4058.28,12.25,0.76,0.27,2.24,0.43,0.03,0.29,0.98475,3.22475,0,0,0,0.06,0.24,4.414063,0.004018039,4.414063,4.414063
1262.1,130.6,0.48,0.77,0.73,4140.63,4058.61,12.25,0.76,0.29,2.21,0.43,0.06,0.31,0.97602,3.18602,0.04,0,0,0.07,0.24,,0.003631703,4.908098,4.883170629
1262.2,133.19,0.48,0.77,0.73,4140.95,4058.93,12.25,0.76,0.29,2.2,0.43,0.07,0.31,0.9743,3.1743,0.1,0,0,0.08,0.24,5.402133,0.003064148,5.402133,5.402133
1262.3,136.06,0.48,0.77,0.73,4141.28,4059.26,12.25,0.76,0.29,2.2,0.43,0.07,0.31,0.9743,3.1743,0.1,0,0,0.07,0.24,,0.001967726,5.5707,5.568149033
